date,user,location,text
2021-03-05 11:40:57,Ftm81531580,,"@97_Kookphoria @BigHitEnt Arrrmy help
#Army_help #ARMYSelcaDay 
#BTSNo1GlobalArtist 
#NOtoRacism https://t.co/gMTy0ic9TA"
2021-03-05 11:38:25,Ftm81531580,,"@BigHitEnt arrrmy heelp
#Army_help #ARMYSelcaDay 
#BTSNo1GlobalArtist 
#NOtoRacism https://t.co/OT3HLpcvmZ"
2021-03-05 11:18:09,btskim09990857,,"Army Please block and report
Racism has to stop
#bts_has_been_copied
#RageAgainRacism

#NoChanceForRacism… https://t.co/f2IpnsHWwY"
2021-03-05 11:14:21,Lara99768256,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/OGYXSeX9Ri"
2021-03-05 10:57:40,Lachimo09478135,,"As long as there's no action made, we will not be silenced. 
RACISM IS NOT AN OPINION 
#Bayern3_racism… https://t.co/6wkeRf4Y8T"
2021-03-05 10:54:35,Sports_Guy321,,"Some good news @IanWright0 👏👏

EA Sports bans Irish FIFA player who racially abused Ian Wright for life… https://t.co/vkoMOo16oS"
2021-03-05 10:43:02,kimvany_1995,Bangtan's Heart 💜,"@Chanh1304 RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-05 10:38:38,Brazil2017_Rap,,"@Vega_RSA @akashhebbarcfc8 here for you too dude, #notoracism one day this trolls we have to put thier pass ports i… https://t.co/RT231a3InP"
2021-03-05 10:37:20,Bangswifties_13,,"Attention to all the kpop fandoms:
His fans (the Iranian rapper who disrespect BTS) want to attack not only BTS but… https://t.co/OqmxnxJaRa"
2021-03-05 10:17:21,R1ghtTh1nk,"San Francisco, CA",@OliviaGoldhill White people stealing Black people's vaccines is murder! It's a medical lynching of the Black commu… https://t.co/40zo3SamR5
2021-03-05 10:04:04,Bangswifties_13,,"He just wants attention but he will regret this...
He should not mess with BTS and ARMY 💜
#Army_help 
#BTSARMY… https://t.co/1Rd5ECr1jR"
2021-03-05 10:02:38,Juno2431,,"@Aerikwin_twt RACISM IS NOT AN OPINION
WE WANT FAIR MEDIA
#NOtoRacism 
#NEINzuRassismus 
#Matuschik_OUT… https://t.co/xV376Zb0zk"
2021-03-05 09:55:56,Bangswifties_13,,"Iranian Armys will always support BTS and ARMY💜
We're a family💜
Please don't dislike our country cause of a rapper… https://t.co/5XzLPCkmcU"
2021-03-05 09:48:56,feveryone4,,"Mk. So this is why I personally think that BLM was a trend:
Rn asians are going trough lots of hate rn due to racis… https://t.co/whNBaSpoFK"
2021-03-05 09:11:37,JRPMusicnLorde,Hologram album link below ,@deathbysupercut I feel really sorry... 💔💔💔 #RESPECTASIANCULTURE #equity #NOtoRacism #HumanRights
2021-03-05 09:06:11,Mitrashadow,,"WHAT THE HEL!!! 
he want to challenge BTS 😂😂😂so funnyyyy,our boys dont know evevn you exist😂😂 dont comment on his p… https://t.co/VYqTtRwIfv"
2021-03-05 08:49:40,jessiii_01,,"Zum Ende der Woche:

RACISM IS NOT AN OPINION
WE WANT FAIR MEDIA
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/3x0sRPKHgA"
2021-03-05 08:39:48,MinMintlia,,"The most powerful fandom in the world😎😏                                    #BTS_rights
#BTSArmy
#BTSArmy_help… https://t.co/axoBIdvhtb"
2021-03-05 08:21:12,Lachimo09478135,,"As long as there's no action made, we will not be silenced. 

Love music
Hate racism

#Bayern3_racism… https://t.co/pHMJ73dHgC"
2021-03-05 08:08:06,Mitrashadow,,"He is so fucked up
Report himm
#Army_help #NOtoRacism
https://t.co/UkFaDOVBcO https://t.co/vBMC9TsmBc"
2021-03-05 08:07:31,Mitrashadow,,"@Koreaboo Hi guys I'm iranian army
Just report and block him 
We purple you💜💜
This is his post
#Army_help… https://t.co/JjhhL08VHM"
